args,__module__=__main__,dataset=cifar10,num_classes=10,dataset_root=./data,train_batch_size=128,test_batch_size=128,data_aug=True,seed=42,learning_rate=0.1,momentum=0.9,optimiser=sgd,loss=cross_entropy,warm_up_epochs=0,gpu=True,loss_mean=False,load=False,gamma=1.0,gamma2=1.0,gamma3=1.0,lamda=1.0,gamma_schedule_step1=100,gamma_schedule_step2=250,temperature=1.0,bsce_norm=1,num_bins=15,weight_decay=0.0005,log_interval=50,save_interval=50,save_loc=./model/,model=resnet50,epoch=350,first_milestone=150,second_milestone=250,nesterov=False,__dict__=<attribute '__dict__' of 'args' objects>,__weakref__=<attribute '__weakref__' of 'args' objects>,__doc__=None
epoch,train_loss,val_loss,val_acc,val_ece,test_acc,test_ece
0,2.0420758193969726,1.7037107761383057,0.3732,0.0871949140995741,0.3866,0.0782436545237899
1,1.3729682062784831,1.173904360961914,0.5612,0.07975781694054607,0.5725,0.07348115985095502
2,1.1021937546624079,1.153969149684906,0.596,0.0662741217315197,0.5941,0.06625939456075428
3,0.9441739217970107,1.3813174085617066,0.5562,0.17404613515436648,0.5619,0.16605772371590133
4,0.8364145816379124,0.9173215191841125,0.6882,0.08204802572429179,0.6943,0.08296995725482702
5,0.7462947441101074,1.0610196842193604,0.6528,0.10568265170454982,0.6565,0.10517278849035497
6,0.6871598296271431,0.8789684741973877,0.7124,0.09152108971774577,0.7104,0.09227341884225605
7,0.6413048395792643,0.7402806990623474,0.7542,0.037543412685394295,0.7578,0.039206043899059295
8,0.612952889421251,0.8534640941619873,0.704,0.08283605685532096,0.7103,0.07942049832344054
9,0.5831091385735406,0.6434244448661804,0.7818,0.02421703190505504,0.7798,0.024110228459537034
10,0.5649192713419596,1.005114767074585,0.6884,0.11985222474038601,0.6912,0.1162799892440438
11,0.5456842176649306,0.7449682619094848,0.7534,0.06262500876784322,0.7584,0.05971863798350095
12,0.534909095509847,0.6589611207962036,0.777,0.047252083274722086,0.7778,0.047867003592848775
13,0.5311772344801161,0.5479724002599716,0.8094,0.021479168549180014,0.8059,0.024384656874835483
14,0.5166924494425456,0.7706619791984558,0.7476,0.06487660882174967,0.7372,0.076770686198771
15,0.5093754064771864,0.9103410604476929,0.7206,0.11993933398723601,0.7243,0.11770119304805994
16,0.4927497662014431,1.7076326044082641,0.6312,0.22610787532627588,0.6421,0.21674750965088604
17,0.4900657348208957,0.6940011236190796,0.7604,0.0544580212831497,0.7561,0.05786224379837511
18,0.48145672793918187,0.6795030847549438,0.7776,0.067322941583395,0.7713,0.07319743218719955
19,0.4723079961988661,0.797837912940979,0.73,0.07706192048192023,0.7358,0.07372332195043561
20,0.47420436240302194,0.7063616702079772,0.7824,0.08293063365519049,0.7746,0.08892914246916768
21,0.4610046909756131,1.1010470109939574,0.681,0.14524531051814554,0.6926,0.13072360828816892
22,0.4590218400743273,0.8427590240478515,0.7416,0.09181206898391248,0.7355,0.09923752514868975
23,0.45338521970113116,0.5553172424316406,0.8184,0.024266153055429465,0.8167,0.027602787849307062
24,0.4475090144687229,0.7312126344680786,0.7706,0.0716162900984287,0.7778,0.0665291894301772
25,0.43961178080240887,0.7282806895256042,0.7676,0.08119997573196891,0.771,0.07776734888553619
26,0.4333988229539659,0.7435256379127503,0.7496,0.05566648115813732,0.7543,0.05257924902588127
27,0.43642667554219566,0.7636551090240479,0.7664,0.10827602721154686,0.7681,0.11200027620345354
28,0.43273388442993166,0.5646143796682358,0.816,0.052995778751373256,0.8145,0.049937964242696795
29,0.42244371274312337,0.8163866320610046,0.7502,0.07528941655457014,0.7452,0.0821477480649948
30,0.4236805619133843,0.6624739860057831,0.7798,0.049749525344371825,0.7845,0.046732546128332594
31,0.42088443497551814,0.6724206215858459,0.7858,0.060654467561840994,0.7898,0.05577370142340657
32,0.42006048545837404,0.9278740905761719,0.7386,0.1279855280607939,0.7475,0.12175812255144122
33,0.42268731405470106,0.6398730486392975,0.7934,0.05207055945396427,0.785,0.06010689328759912
34,0.40891200947231715,0.5252273826599121,0.8252,0.04288401775360112,0.8199,0.04746750434190039
35,0.4140936166127523,0.6354622281074523,0.8046,0.06365879330635073,0.7973,0.06721315431892869
36,0.40741507466634114,0.464048703956604,0.8424,0.01646863975822928,0.8346,0.021944498406350633
37,0.4027769258711073,0.7800061037540436,0.777,0.07699025724828247,0.7666,0.08364995148181914
38,0.4046071834140354,0.5691585538864136,0.8092,0.04480257912874224,0.8063,0.046626535966992386
39,0.39778434816996255,0.6282830444335937,0.8028,0.07374183920621871,0.8038,0.07045507933944467
40,0.3926202626970079,0.7083786091804505,0.795,0.07960066846311094,0.7871,0.07954640864729881
41,0.39025773052639434,0.8442740934848786,0.7452,0.100428066149354,0.7429,0.10334699877053496
42,0.39775893058776857,0.829276124382019,0.7448,0.09053256152272227,0.7402,0.09360736285597089
43,0.3893002248128255,0.6880486692428589,0.782,0.07717080492973331,0.7736,0.09069836587160823
44,0.387462252553304,0.5317560830831528,0.8316,0.04806626613736155,0.8285,0.04962382860630754
45,0.3850162845611572,0.4630038266658783,0.845,0.02202115600705149,0.8395,0.01838705789148805
46,0.3929528284708659,0.5240936491250991,0.8262,0.02717643117010592,0.8265,0.02565794435888527
47,0.38356630702548555,0.8565372354507447,0.7328,0.10742730619311332,0.7235,0.11459210421293975
48,0.3826704615275065,0.5969375367641448,0.8022,0.06320623238682747,0.7992,0.06670062678307294
49,0.38619036148919,0.5985849975585937,0.802,0.06422764035463334,0.8005,0.06896216793656348
50,0.375721802605523,1.0456192985534667,0.729,0.14527849961221218,0.7277,0.14362760413736103
51,0.376088054784139,0.6262736480236053,0.7982,0.07146339369714261,0.7942,0.07264750819653269
52,0.3803616435156928,0.7596317308425903,0.7596,0.09717666791975497,0.7646,0.09216308531016115
53,0.37438071687486435,0.5573218313694001,0.8246,0.04883052172660829,0.8207,0.048007987320423134
54,0.38077965660095214,0.6946564322948455,0.7952,0.07446602174043658,0.7946,0.07494541078507902
55,0.38011534822252063,0.5678057516813279,0.8124,0.05522004633843901,0.8102,0.05997485016882417
56,0.37897616619533964,0.6868014953613282,0.791,0.091450965332985,0.7888,0.08693413314074279
57,0.3725805271572537,0.5228403446197509,0.8206,0.03477273998856542,0.8168,0.04175499902516602
58,0.3739332499186198,0.5411771814823151,0.8236,0.03996582492291927,0.8161,0.04768807123303413
59,0.3705075274149577,0.5162189448237419,0.8352,0.048469760131835904,0.8269,0.05314344277679921
60,0.37500752262539333,0.5758923002719879,0.8086,0.0617550408691168,0.806,0.06377712335884571
61,0.3632731824239095,0.8060293338775635,0.765,0.09187672813534734,0.7571,0.09053915923535821
62,0.3658847895304362,0.5700508010864258,0.8132,0.056202566292881985,0.8013,0.06709632579088211
63,0.37261214680141874,0.47361240262985227,0.841,0.033829633796215106,0.8267,0.0435457136124372
64,0.3662045803917779,0.6496295582294465,0.8038,0.05805364863574501,0.793,0.06887464815229175
65,0.36942804514567057,0.8066821599960328,0.7606,0.11203327133357524,0.7637,0.11043947717398406
66,0.37055742365519206,0.7589800796985626,0.7648,0.08984930836260316,0.7692,0.08805497351288796
67,0.36908465546502006,0.9091257064342498,0.7392,0.1346807094871998,0.7233,0.14818879723995926
68,0.3647182097117106,0.6089040414810181,0.8102,0.05224066267609593,0.7985,0.06382291896045214
69,0.361998715294732,0.6726053968429565,0.7788,0.08376545650959012,0.7846,0.0786941227346659
